microbenchmark,mean_low,mean_est,mean_hi,sd_low,sd_est,sd_hi,med_low,med_est,med_hi,MAD_low,MAD_est,MAD_hi
G1 add,1.2608 µs,1.2861 µs,1.3119 µs,115.95 ns,130.96 ns,143.98 ns,1.2266 µs,1.2848 µs,1.3261 µs,120.33 ns,159.99 ns,192.05 ns
G1 commit,1.4179 ms,1.4398 ms,1.4625 ms,93.342 µs,114.84 µs,136.67 µs,1.3972 ms,1.4279 ms,1.4439 ms,70.635 µs,92.546 µs,125.40 µs
G1 commit group add,39.846 µs,40.897 µs,42.041 µs,4.2282 µs,5.6296 µs,6.9367 µs,38.596 µs,39.471 µs,40.692 µs,2.7569 µs,3.8437 µs,5.1123 µs
G1 commit group scalar multiply,596.85 µs,605.94 µs,615.04 µs,40.670 µs,46.530 µs,51.777 µs,600.50 µs,608.88 µs,620.83 µs,41.017 µs,52.879 µs,64.196 µs
G1 scalar multiply,362.51 µs,368.77 µs,375.23 µs,27.560 µs,32.584 µs,37.301 µs,360.24 µs,365.92 µs,374.38 µs,25.281 µs,32.657 µs,40.964 µs
G2 add,4.1653 µs,4.2341 µs,4.3039 µs,311.68 ns,354.55 ns,391.92 ns,4.1419 µs,4.2507 µs,4.3480 µs,293.33 ns,381.57 ns,497.26 ns
G2 commit,6.0041 ms,6.0811 ms,6.1609 ms,337.45 µs,402.12 µs,467.47 µs,5.9545 ms,6.0079 ms,6.1678 ms,319.55 µs,415.52 µs,495.05 µs
G2 commit group add,46.051 µs,47.174 µs,48.305 µs,5.1030 µs,5.7658 µs,6.3417 µs,46.051 µs,46.886 µs,48.626 µs,5.5177 µs,6.9802 µs,7.9973 µs
G2 commit group scalar multiply,2.8908 ms,2.9426 ms,2.9950 ms,236.60 µs,268.27 µs,295.84 µs,2.8637 ms,2.9498 ms,3.0247 ms,236.25 µs,307.05 µs,358.75 µs
G2 scalar multiply,1.1871 ms,1.2096 ms,1.2327 ms,98.974 µs,117.34 µs,134.35 µs,1.1849 ms,1.1979 ms,1.2249 ms,82.837 µs,108.81 µs,136.65 µs
GT add,8.6537 µs,8.8272 µs,9.0070 µs,789.28 ns,907.11 ns,1.0080 µs,8.4471 µs,8.6890 µs,9.0124 µs,832.40 ns,1.0888 µs,1.2536 µs
GT commit group add,36.483 µs,37.036 µs,37.628 µs,2.2632 µs,2.9567 µs,3.6845 µs,36.205 µs,36.832 µs,37.299 µs,1.6615 µs,2.2768 µs,2.8799 µs
GT commit group pairing,12.065 ms,12.217 ms,12.375 ms,663.27 µs,795.88 µs,917.29 µs,11.949 ms,12.116 ms,12.398 ms,567.83 µs,775.87 µs,986.89 µs
GT scalar multiply,1.7785 ms,1.8083 ms,1.8409 ms,119.61 µs,159.91 µs,206.96 µs,1.7656 ms,1.7931 ms,1.8217 ms,100.85 µs,143.46 µs,169.81 µs
pairing,2.9537 ms,2.9953 ms,3.0371 ms,185.94 µs,215.17 µs,241.85 µs,2.9557 ms,3.0098 ms,3.0310 ms,165.72 µs,227.34 µs,278.80 µs
scalar field add,2.3991 ns,2.4260 ns,2.4539 ns,117.97 ps,141.11 ps,162.62 ps,2.3763 ns,2.4013 ns,2.4267 ns,92.128 ps,130.51 ps,168.38 ps
scalar field multiply,2.3566 ns,2.3874 ns,2.4206 ns,127.16 ps,163.14 ps,199.10 ps,2.3156 ns,2.3616 ns,2.3994 ns,114.98 ps,144.95 ps,183.20 ps
scalar field to G1 commit,1.3903 ms,1.4281 ms,1.4766 ms,116.41 µs,223.76 µs,340.68 µs,1.3813 ms,1.4061 ms,1.4278 ms,90.048 µs,127.17 µs,160.01 µs
scalar field to G2 commit,6.2666 ms,6.3351 ms,6.4047 ms,298.79 µs,354.90 µs,406.09 µs,6.2154 ms,6.3321 ms,6.3923 ms,247.43 µs,315.76 µs,405.61 µs
