microbenchmark,mean_low,mean_est,mean_hi,sd_low,sd_est,sd_hi,med_low,med_est,med_hi,MAD_low,MAD_est,MAD_hi
G1 add,673.77 ns,684.83 ns,696.02 ns,48.458 ns,56.921 ns,65.171 ns,667.71 ns,682.08 ns,698.32 ns,44.036 ns,62.171 ns,73.912 ns
G1 commit,741.64 µs,752.94 µs,764.38 µs,49.094 µs,58.137 µs,66.278 µs,731.22 µs,741.63 µs,766.45 µs,38.863 µs,53.927 µs,66.152 µs
G1 commit group add,13.629 µs,13.947 µs,14.271 µs,1.4469 µs,1.6486 µs,1.8245 µs,13.527 µs,13.954 µs,14.261 µs,1.3879 µs,1.9316 µs,2.2080 µs
G1 commit group scalar multiply,309.64 µs,318.49 µs,328.21 µs,35.548 µs,47.809 µs,59.552 µs,297.49 µs,306.31 µs,316.44 µs,25.643 µs,35.732 µs,44.212 µs
G1 scalar multiply,173.71 µs,177.31 µs,181.07 µs,15.856 µs,18.914 µs,21.491 µs,167.83 µs,171.22 µs,178.70 µs,13.561 µs,18.225 µs,22.094 µs
G2 add,2.0657 µs,2.1635 µs,2.2819 µs,295.31 ns,555.04 ns,762.71 ns,1.9610 µs,2.0357 µs,2.0707 µs,161.18 ns,247.12 ns,294.08 ns
G2 commit,3.1377 ms,3.1744 ms,3.2117 ms,168.84 µs,189.45 µs,207.45 µs,3.1036 ms,3.1550 ms,3.2381 ms,171.72 µs,215.69 µs,277.25 µs
G2 commit group add,17.198 µs,17.538 µs,17.880 µs,1.5350 µs,1.7485 µs,1.9406 µs,16.981 µs,17.411 µs,18.068 µs,1.4601 µs,1.7499 µs,2.3318 µs
G2 commit group scalar multiply,1.4568 ms,1.4850 ms,1.5139 ms,124.18 µs,147.82 µs,170.27 µs,1.4405 ms,1.4621 ms,1.5192 ms,116.65 µs,150.15 µs,187.30 µs
G2 scalar multiply,590.50 µs,606.10 µs,622.04 µs,71.593 µs,81.235 µs,89.246 µs,566.45 µs,587.88 µs,609.88 µs,60.610 µs,87.610 µs,113.21 µs
GT add,4.8299 µs,4.9234 µs,5.0186 µs,416.67 ns,483.10 ns,542.92 ns,4.7653 µs,4.8407 µs,5.0094 µs,370.74 ns,504.75 ns,617.53 ns
GT commit group add,17.683 µs,17.976 µs,18.284 µs,1.2571 µs,1.5368 µs,1.8304 µs,17.197 µs,17.781 µs,18.131 µs,1.1195 µs,1.4781 µs,1.9585 µs
GT commit group pairing,8.4225 ms,8.5477 ms,8.6777 ms,528.05 µs,657.24 µs,789.91 µs,8.3623 ms,8.5071 ms,8.6177 ms,442.74 µs,631.60 µs,757.84 µs
GT scalar multiply,963.83 µs,996.79 µs,1.0305 ms,148.73 µs,171.44 µs,191.64 µs,943.36 µs,966.16 µs,1.0164 ms,152.67 µs,201.70 µs,227.70 µs
pairing,2.0064 ms,2.0809 ms,2.1721 ms,205.95 µs,426.32 µs,608.46 µs,1.9856 ms,2.0337 ms,2.0762 ms,132.55 µs,188.43 µs,226.13 µs
scalar field add,2.4077 ns,2.4490 ns,2.4937 ns,170.98 ps,219.98 ps,262.55 ps,2.3394 ns,2.3885 ns,2.4437 ns,131.07 ps,179.99 ps,226.72 ps
scalar field multiply,2.3881 ns,2.4177 ns,2.4489 ns,126.35 ps,155.35 ps,182.21 ps,2.3437 ns,2.3956 ns,2.4458 ns,121.49 ps,163.78 ps,184.03 ps
scalar field to G1 commit,698.21 µs,708.61 µs,719.32 µs,45.861 µs,54.011 µs,61.310 µs,691.02 µs,701.63 µs,713.38 µs,40.231 µs,52.410 µs,66.843 µs
scalar field to G2 commit,3.1828 ms,3.2230 ms,3.2632 ms,183.14 µs,206.84 µs,227.72 µs,3.1597 ms,3.2357 ms,3.2915 ms,187.36 µs,231.75 µs,285.87 µs
